4.418,16.250
17.377,29.467
29.467,40.781
41.685,53.882
62.869,70.909
77.521,82.591
83.745,91.186
94.622,105.371
109.427,132.018
141.129,152.614
154.313,165.653
165.653,172.773
172.773,179.627
180.465,195.234
201.634,211.698
214.182,224.235
241.428,256.037
262.542,274.322
274.938,301.391
316.639,329.030
334.086,347.299
351.687,366.700
373.747,387.239
388.233,398.237
399.302,412.917
414.215,429.929
433.790,440.182
447.721,455.230
456.965,471.593
474.014,493.099
496.138,511.818
515.858,530.441
531.445,543.879
545.856,557.578
559.921,571.816
578.537,590.386
594.564,615.355
616.911,627.179
632.666,640.918
645.436,658.606
664.356,675.789
677.173,687.371
